MD,GenericDistanceMeasurementSensor,Component/SensingElements/DistanceSensor,mdGenericDistanceMeasurementSensor.md
FB,GenericOrientationMeasurementSensor,Component/SensingElements/OrintationMeasurement,fbGenericOrientationMeasurementSensor.xml
MD,GenericOrientationMeasurementSensor,Component/SensingElements/OrintationMeasurement,mdGenericOrientationMeasurementSensor.md
Interface,Others,Component/Others,intfOthers.xml
Interface,ReactionVessel,Component/Others/ReactionVessel,intfReactionVessel.xml
Interface,TemperatureElement,Component/Others/TemperatureElement,intfTemperatureElement.xml
Interface,HeatingElement,Component/Others/TemperatureElement/HeatingElement,intfHeatingElement.xml
Interface,CoolingElement,Component/Others/TemperatureElement/CoolingElement,intfCoolingElement.xml
Interface,MagneticComponents,Component/Others/MagneticComponents,intfMagneticComponents.xml
Interface,Exposure,Component/Others/Exposure,intfExposure.xml
Interface,Electricity,Component/Others/Electricity,intfElectricity.xml
Interface,Software,Component/Others/Software,intfSoftware.xml
